Area,Competition,Gender,Category,Season,Matches,Tagged
Barbados,Premier League,Male,Senior,2016,90,0%
,,,,2017,90,0%
,,,,2018,5,0%
Belarus,1. Division,Male,Senior,2016,182,2%
,,,,2017,240,5%
,,,,2018,210,0%
,,,,2019,210,78%
,,,,2020,182,96%
,,,,2021,198,94%
,,,,2022,156,93%
,2. Division,Male,Senior,2016,156,0%
,,,,2017,182,0%
,,,,2020,254,5%
,Cup,Male,Senior,2016/2017,52,25%
,,,,2017/2018,57,49%
,,,,2018/2019,39,62%
,,,,2019/2020,35,97%
,,,,2020/2021,61,97%
,,,,2021/2022,36,92%
,,,,2022/2023,32,75%
,Play-offs 1/2,Male,Senior,2019,1,0%
,,,,2020,2,100%
,,,,2021,2,100%
,,,,2022,2,50%
Belarus,Premier League,Male,Senior,2016,240,68%
,,,,2017,240,100%
,,,,2018,240,99%
,,,,2019,226,100%
,,,,2020,239,100%
,,,,2021,229,98%
,,,,2022,240,99%
,Premier League Women,Female,Senior,2016,54,0%
,,,,2017,63,0%
,,,,2020,84,96%
,,,,2021,135,99%
,,,,2022,135,94%
,Reserve League,Male,Senior,2016,238,0%
,,,,2017,240,0%
,,,,2020,239,80%
,,,,2021,239,72%
,,,,2022,240,80%
,Super Cup,Male,Senior,2016,1,0%
,,,,2017,1,100%
,,,,2018,1,100%
,,,,2019,1,100%
,,,,2020,1,100%
,,,,2021,1,100%
,,,,2022,1,100%
,Super Cup Women,Female,Senior,2016,1,0%
,,,,2017,1,0%
,,,,2018,1,0%
,,,,2020,1,0%
,,,,2021,1,100%
,,,,2022,1,100%
,Women's Cup,Female,Senior,2016,10,0%
,,,,2017,11,0%
,,,,2020,4,50%
,,,,2021,3,100%
Belgium,Challenger Pro League,Male,Senior,2015/2016,272,0%
,,,,2016/2017,126,99%
,,,,2017/2018,126,100%
,,,,2018/2019,126,100%
,,,,2019/2020,113,100%
,,,,2020/2021,112,99%
,,,,2021/2022,112,100%
,,,,2022/2023,192,100%
,,,,2023/2024,246,100%
,,,,2024/2025,115,100%
,Cup,Male,Senior,2015/2016,294,0%
,,,,2016/2017,313,3%
Belgium,Cup,Male,Senior,2017/2018,313,5%
,,,,2018/2019,33,24%
,,,,2019/2020,33,36%
,,,,2020/2021,31,71%
,,,,2021/2022,33,42%
,,,,2022/2023,33,36%
,,,,2023/2024,33,82%
,,,,2024/2025,29,45%
,Elite 1 Under 18,Male,Youth,2019/2020,26,62%
,,,,2020/2021,6,100%
,,,,2021/2022,35,34%
,,,,2022/2023,159,28%
,,,,2023/2024,110,74%
,Elite Under 14,Male,Youth,2021/2022,23,61%
,,,,2022/2023,28,68%
,Elite Under 15,Male,Youth,2021/2022,24,63%
,,,,2022/2023,160,16%
,,,,2023/2024,90,0%
,Elite Under 16,Male,Youth,2021/2022,16,44%
,,,,2022/2023,158,13%
,,,,2023/2024,91,0%
,,,,2024/2025,46,0%
,First Division Women,Female,Senior,2015/2016,182,0%
,,,,2016/2017,156,0%
,,,,2017/2018,141,0%
,National Division 1,Male,Senior,2016/2017,252,3%
,,,,2017/2018,252,9%
,,,,2018/2019,250,1%
,,,,2019/2020,190,19%
,,,,2020/2021,14,0%
,,,,2021/2022,222,0%
,,,,2022/2023,379,0%
,Play-offs 1/2,Male,Senior,2020/2021,2,100%
,,,,2021/2022,2,100%
,,,,2023/2024,2,100%
,Play-offs 3/4,Male,Senior,2016/2017,6,0%
,Pro League,Male,Senior,2015/2016,298,100%
,,,,2016/2017,270,100%
,,,,2017/2018,270,100%
,,,,2018/2019,332,100%
,,,,2019/2020,232,100%
,,,,2020/2021,330,100%
,,,,2021/2022,330,99%
,,,,2022/2023,330,100%
,,,,2023/2024,312,100%
,,,,2024/2025,168,100%
Belgium,Pro League U21,Male,Youth,2015/2016,226,0%
,,,,2016/2017,229,0%
,,,,2017/2018,110,0%
,,,,2019/2020,60,20%
,,,,2020/2021,27,26%
,,,,2021/2022,28,71%
,,,,2022/2023,132,0%
,,,,2023/2024,182,49%
,,,,2024/2025,67,70%
",Provincial,Male,Senior,2015/2016,""2,124"",0%"
",,,,2016/2017,""2,137"",0%"
",,,,2017/2018,""1,730"",0%"
,Second Amateur Division,Male,Senior,2015/2016,663,0%
,,,,2016/2017,729,0%
,,,,2017/2018,615,0%
,Second Division Women,Female,Senior,2015/2016,132,0%
,,,,2016/2017,364,0%
,,,,2017/2018,243,0%
,Super Cup,Male,Senior,2015/2016,1,100%
,,,,2016/2017,1,100%
,,,,2017/2018,1,100%
,,,,2018/2019,1,100%
,,,,2019/2020,1,100%
,,,,2021/2022,1,100%
,,,,2022/2023,1,100%
,,,,2023/2024,1,100%
,,,,2024/2025,1,100%
,Super League,Female,Senior,2015/2016,80,0%
,,,,2016/2017,84,0%
,,,,2017/2018,42,0%
,,,,2022/2023,160,21%
,,,,2023/2024,132,80%
,,,,2024/2025,48,88%
,Third Amateur Division,Male,Senior,2015/2016,947,0%
,,,,2016/2017,863,0%
,,,,2017/2018,883,0%
,UEFA Europa League Play-offs,Male,Senior,2016/2017,62,100%
,,,,2017/2018,62,97%
,Women's Cup,Female,Senior,2015/2016,39,0%
,,,,2016/2017,38,0%
,,,,2017/2018,29,0%
,Women's Play-offs 2/3,Female,Senior,2015/2016,2,0%
Belize,Premier League,Male,Senior,2015/2016,72,0%
,,,,2016/2017,140,0%
,,,,2017/2018,62,0%
Benin,Championnat National,Male,Senior,2016,84,0%
Benin,Championnat National,Male,Senior,2017,161,0%
,,,,2023/2024,16,0%
,,,,2024/2025,16,88%
Bermuda,Premier League,Male,Senior,2015/2016,90,0%
,,,,2016/2017,90,0%
,,,,2017/2018,76,0%
Bhutan,Premier League,Male,Senior,2015,30,0%
,,,,2016,30,0%
,,,,2017,30,0%
,Super League,Male,Senior,2016,56,0%
,,,,2017,56,0%
,,,,2018,48,0%
Bolivia,Copa de la División Profes..,Male,Senior,2023,94,73%
,LFPB,Male,Senior,2015/2016,264,0%
,,,,2016/2017,398,71%
,,,,2018,310,81%
,,,,2019,363,88%
,,,,2020,182,87%
,,,,2021,240,97%
,,,,2022,333,90%
,,,,2023,272,100%
,,,,2024,319,98%
,Nacional B,Male,Senior,2015/2016,82,0%
,,,,2016/2017,89,0%
,,,,2017,120,1%
,Play-offs 1/2,Male,Senior,2015/2016,2,0%
,,,,2021,2,0%
,,,,2022,2,0%
,,,,2023,2,0%
,,,,2024,2,0%
Bonaire,Bonaire League,Male,Senior,2015/2016,36,0%
Bosnia and Herzegovina,1st League,Male,Senior,2015/2016,432,0%
,,,,2016/2017,436,0%
,,,,2017/2018,351,0%
,,,,2018/2019,239,0%
,,,,2019/2020,128,98%
,,,,2020/2021,240,98%
,,,,2021/2022,239,0%
,,,,2022/2023,240,0%
,,,,2023/2024,239,47%
,,,,2024/2025,107,0%
,Cup,Male,Senior,2015/2016,46,4%
,,,,2016/2017,46,30%
,,,,2017/2018,38,55%
,,,,2018-2019,37,62%
,,,,2019/2020,34,82%
Bosnia and Herzegovina,Cup,Male,Senior,2020/2021,37,81%
,,,,2021/2022,43,70%
,,,,2022/2023,43,67%
,,,,2023/2024,47,23%
,,,,2024/2025,23,0%
,Premijer Liga,Male,Senior,2015/2016,240,23%
,,,,2016/2017,192,98%
,,,,2017/2018,192,100%
,,,,2018/2019,198,100%
,,,,2019/2020,132,99%
,,,,2020/2021,198,99%
,,,,2021/2022,198,99%
,,,,2022/2023,198,97%
,,,,2023/2024,198,98%
,,,,2024/2025,102,96%
,Premijer Ženska Liga,Female,Senior,2016/2017,80,0%
,,,,2017/2018,45,0%
Botswana,Premier League,Male,Senior,2015/2016,241,0%
,,,,2016/2017,240,0%
,,,,2017/2018,93,0%
Brazil,Acreano,Male,Senior,2016,45,0%
,,,,2017,45,0%
,Alagoano,Male,Senior,2016,85,1%
,,,,2017,85,20%
,,,,2018,44,43%
,,,,2019,36,72%
,,,,2020,32,72%
,,,,2021,46,93%
,,,,2022,36,6%
,,,,2023,34,82%
,Alagoano Play-Offs,Male,Senior,2022,2,0%
,,,,2023,2,100%
,Amapaense,Male,Senior,2015,42,0%
,,,,2016,23,0%
,,,,2017,21,0%
,Amazonense,Male,Senior,2016,45,0%
,,,,2017,63,0%
,,,,2018,1,0%
,Baiano 1,Male,Senior,2016,56,11%
,,,,2017,61,25%
,,,,2018,51,27%
,,,,2019,51,35%
,,,,2020,51,37%
,,,,2021,51,92%
,,,,2022,51,98%
,,,,2023,51,90%
Brazil,Baiano 1,Male,Senior,2024,51,98%
,,,,2025,8,88%
,Baiano 2,Male,Senior,2016,32,0%
,,,,2017,32,0%
,Baiano U20,Male,Youth,2017,80,0%
,Brasileiro Feminino A2,Female,Senior,2019,29,0%
,,,,2020,119,0%
,Brasileiro U17,Male,Youth,2019,65,0%
,,,,2020,104,8%
,,,,2021,104,0%
,,,,2022,103,0%
,,,,2023,103,62%
,,,,2024,103,65%
,Brasileiro Women,Female,Senior,2015,70,0%
,,,,2016,70,1%
,,,,2017,126,0%
,,,,2018,114,0%
,,,,2019,133,0%
,,,,2020,134,78%
,,,,2021,134,83%
,,,,2022,134,77%
,,,,2023,134,81%
,,,,2024,134,99%
,Brasiliense,Male,Senior,2016,80,0%
,,,,2017,80,0%
,Campeonato Brasileiro de Aspirantes U23,Male,Youth,2017,26,0%
,,,,2018,72,0%
,,,,2019,94,0%
,,,,2020,94,89%
,,,,2021,94,29%
,,,,2022,61,79%
,,,,2024,61,90%
,Capixaba,Male,Senior,2016,82,0%
,,,,2017,51,0%
,,,,2018,12,0%
,Carioca 1,Male,Senior,2016,127,27%
,,,,2017,109,50%
,,,,2018,103,63%
,,,,2019,103,54%
,,,,2020,107,60%
,,,,2021,108,94%
,,,,2022,78,100%
,,,,2023,78,99%
,,,,2024,78,99%
,,,,2025,10,100%
,Carioca 2,Male,Senior,2016,171,0%
Brazil,Carioca 2,Male,Senior,2017,220,0%
,Carioca U20,Male,Youth,2017,155,0%
,,,,2018,76,0%
,Carioca Women,Female,Senior,2017,24,0%
,Catarinense 1,Male,Senior,2016,92,35%
,,,,2017,92,76%
,,,,2018,91,22%
,,,,2019,93,81%
,,,,2020,61,90%
,,,,2021,82,85%
,,,,2022,80,100%
,,,,2023,80,100%
,,,,2024,80,100%
,,,,2025,5,100%
,Catarinense 2,Male,Senior,2015,92,0%
,,,,2016,92,0%
,,,,2017,96,0%
,CBF Brasileiro U20,Male,Youth,2015,66,9%
,,,,2016,70,23%
,,,,2017,70,47%
,,,,2018,70,34%
,,,,2019,204,64%
,,,,2020,204,89%
,,,,2021,204,25%
,,,,2022,103,69%
,,,,2023,103,72%
,,,,2024,198,70%
,Cearense 1,Male,Senior,2016,76,12%
,,,,2017,61,69%
,,,,2018,66,62%
,,,,2019,62,35%
,,,,2020,60,47%
,,,,2021,59,69%
,,,,2022,66,71%
,,,,2023,47,94%
,,,,2024,47,100%
,Cearense 2,Male,Senior,2016,111,0%
,,,,2017,26,0%
,Copa de Seleções Estadua..,Male,Youth,2017,19,0%
,Copa do Brasil,Male,Senior,2016,162,60%
,,,,2017,120,69%
,,,,2018,120,75%
,,,,2019,120,78%
,,,,2020,120,81%
,,,,2021,122,94%
,,,,2022,122,87%
Brazil,Copa do Brasil,Male,Senior,2023,122,89%
,,,,2024,122,89%
,Copa do Brasil Feminino,Female,Senior,2016,56,0%
,Copa do Brasil U17,Male,Youth,2016,59,2%
,,,,2017,56,4%
,,,,2018,58,0%
,,,,2019,46,0%
,,,,2020,46,0%
,,,,2021,46,0%
,,,,2022,46,0%
,,,,2023,45,56%
,,,,2024,45,69%
,Copa do Brasil U20,Male,Youth,2015,60,27%
,,,,2016,56,25%
,,,,2017,59,22%
,,,,2018,58,31%
,,,,2019,46,26%
,,,,2020,46,67%
,,,,2021,46,91%
,,,,2022,45,18%
,,,,2023,45,47%
,,,,2024,45,78%
,Copa do Nordeste,Male,Senior,2016,74,8%
,,,,2017,74,88%
,,,,2017/2018,70,96%
,,,,2018/2019,80,95%
,,,,2019/2020,79,97%
,,,,2020/2021,80,98%
,,,,2021/2022,96,99%
,,,,2022/2023,84,85%
,,,,2024,84,98%
,,,,2025,12,8%
,Copa do Nordeste U20,Male,Youth,2015,10,0%
,,,,2016,3,33%
,,,,2017,13,0%
,,,,2018,49,0%
,,,,2019,52,0%
,,,,2020,33,0%
,,,,2021,53,0%
,Copa Fares Lopes,Male,Senior,2015,53,0%
,,,,2016,32,0%
,,,,2017,34,0%
,Copa Gaúcha,Male,Senior,2015,37,0%
,,,,2016,104,0%
,,,,2017,60,0%
,Copa Gaúcho U19,Male,Youth,2017,113,0%
Brazil,Copa Governador,Male,Senior,2015,18,0%
,,,,2016,18,0%
,Copa Ipiranga,Male,Youth,2015,47,0%
,,,,2016,47,47%
,,,,2017,47,83%
,,,,2018,47,72%
,,,,2019,47,43%
,Copa Ouro U20,Male,Youth,2016,1,0%
,Copa Paulista,Male,Senior,2015,122,0%
,,,,2016,206,3%
,,,,2017,190,42%
,,,,2018,218,52%
,,,,2019,198,87%
,,,,2020,90,94%
,,,,2021,70,44%
,,,,2022,94,78%
,,,,2023,104,97%
,,,,2024,140,98%
,Copa Placar SUB20,Male,Youth,2015,7,0%
,Copa Rio,Male,Senior,2015,98,0%
,,,,2016,62,0%
,,,,2017,30,0%
,,,,2018,27,0%
,,,,2019,29,0%
,,,,2021,28,0%
,,,,2022,30,0%
,,,,2023,30,0%
,,,,2024,30,0%
,Copa Santa Catarina,Male,Senior,2017,14,0%
,Copa Verde,Male,Senior,2016,34,6%
,,,,2017,34,35%
,,,,2018,34,35%
,,,,2019,46,22%
,,,,2020,30,30%
,,,,2021,30,27%
,,,,2022,19,11%
,,,,2023,30,63%
,,,,2024,30,70%
,Gaúcho 1,Male,Senior,2016,101,19%
,,,,2017,80,56%
,,,,2018,80,54%
,,,,2019,80,48%
,,,,2020,73,67%
,,,,2021,72,83%
,,,,2022,72,79%
,,,,2023,72,99%
Brazil,Gaúcho 1,Male,Senior,2024,76,97%
,Gaúcho 2,Male,Senior,2016,164,0%
,,,,2017,125,0%
,,,,2018,19,0%
,Gaúcho - Estadual Junior ..,Male,Youth,2017,92,0%
,Goiano 1,Male,Senior,2016,76,5%
,,,,2017,76,25%
,,,,2018,76,33%
,,,,2019,86,37%
,,,,2020,79,41%
,,,,2021,74,68%
,,,,2022,74,0%
,,,,2023,80,94%
,,,,2024,80,95%
,,,,2025,4,50%
,Goiano 2,Male,Senior,2016,38,0%
,,,,2017,46,0%
,Maranhense,Male,Senior,2016,52,0%
,,,,2017,50,0%
,,,,2018,4,0%
,,,,2019,34,0%
,,,,2020,38,0%
,,,,2021,38,0%
,,,,2022,36,0%
,,,,2023,36,0%
,,,,2024,62,0%
,,,,2025,6,0%
,Matogrossense,Male,Senior,2016,78,0%
,,,,2017,46,0%
,,,,2018,4,0%
,Mineiro 1,Male,Senior,2016,72,33%
,,,,2017,72,50%
,,,,2018,76,50%
,,,,2019,76,47%
,,,,2020,74,51%
,,,,2021,75,92%
,,,,2022,78,100%
,,,,2023,65,100%
,,,,2024,65,94%
,Mineiro 2,Male,Senior,2016,90,0%
,,,,2017,90,0%
,Mineiro U20,Male,Youth,2017,97,0%
,Paraense,Male,Senior,2016,52,0%
,,,,2017,58,28%
,,,,2018,37,14%
,,,,2019,57,0%
Brazil,Paraense,Male,Senior,2020,56,55%
,,,,2021,63,75%
,,,,2022,63,81%
,,,,2023,64,88%
,,,,2024,62,98%
,Paraibano,Male,Senior,2016,74,0%
,,,,2017,96,0%
,,,,2018,29,0%
,Paranaense 1,Male,Senior,2016,82,17%
,,,,2017,83,8%
,,,,2018,74,23%
,,,,2019,74,22%
,,,,2020,80,60%
,,,,2021,80,78%
,,,,2022,80,96%
,,,,2023,80,100%
,,,,2024,80,100%
,,,,2025,11,100%
,Paranaense 2,Male,Senior,2016,42,0%
,,,,2017,71,0%
,Paranaense U19,Male,Youth,2017,168,0%
,Paulista A1,Male,Senior,2016,158,95%
,,,,2017,121,94%
,,,,2018,121,96%
,,,,2019,121,97%
,,,,2020,110,100%
,,,,2021,109,100%
,,,,2022,109,100%
,,,,2023,109,100%
,,,,2024,104,98%
,,,,2025,4,75%
,Paulista A2,Male,Senior,2016,203,30%
,,,,2017,195,19%
,,,,2018,125,51%
,,,,2019,133,74%
,,,,2020,134,74%
,,,,2021,134,98%
,,,,2022,134,82%
,,,,2023,134,98%
,,,,2024,134,99%
,,,,2025,7,100%
,Paulista A3,Male,Senior,2016,216,1%
,,,,2017,204,61%
,,,,2018,203,52%
,,,,2019,134,50%
,,,,2020,134,93%
Brazil,Paulista A3,Male,Senior,2021,134,96%
,,,,2022,149,87%
,,,,2023,150,99%
,,,,2024,133,92%
,Paulista sub 15,Male,Youth,2017,1,0%
,Paulista Sub 17,Male,Youth,2017,1,0%
,Paulista Sub 20,Male,Youth,2016/2017,1,0%
,Paulista U20,Male,Youth,2017,514,0%
,,,,2018,1,0%
,,,,2020,87,0%
,,,,2021,396,0%
,,,,2022,517,0%
,,,,2023,171,55%
,,,,2024,127,70%
,Paulista U23 - 2nd Division,Male,NULL,2016,286,0%
,,,,2017,244,0%
,,,,2018,93,0%
,,,,2020,170,0%
,,,,2021,179,0%
,,,,2022,242,0%
,,,,2023,311,0%
,,,,2024,130,0%
,Paulista Women,Female,Senior,2016,98,0%
,,,,2017,142,0%
,,,,2018,83,0%
,,,,2019,90,0%
,,,,2020,44,0%
,,,,2021,72,0%
,,,,2022,78,0%
,,,,2023,72,94%
,,,,2024,61,67%
,Pernambucano 1,Male,Senior,2016,92,10%
,,,,2017,95,28%
,,,,2018,64,38%
,,,,2019,54,72%
,,,,2020,57,54%
,,,,2021,57,82%
,,,,2022,57,95%
,,,,2023,84,95%
,,,,2024,53,100%
,,,,2025,8,100%
,Pernambucano 2,Male,Senior,2015,89,0%
,,,,2016,49,0%
,,,,2017,54,0%
,Piauiense,Male,Senior,2016,68,0%
,,,,2017,50,0%
Brazil,Potiguar,Male,Senior,2016,60,0%
,,,,2017,62,11%
,,,,2018,56,27%
,,,,2019,60,7%
,,,,2020,58,33%
,,,,2021,60,80%
,,,,2022,64,72%
,,,,2023,44,18%
,Primeira Liga,Male,Senior,2016,21,67%
,,,,2017,31,100%
,Recopa Catarinense,Male,Senior,2022,1,100%
,,,,2023,1,100%
,Recopa Gaúcha,Male,Senior,2020,1,100%
,,,,2021,1,100%
,,,,2022,1,0%
,,,,2023,1,0%
,,,,2024,1,0%
,Rondoniense,Male,Senior,2016,60,0%
,,,,2017,62,0%
,,,,2018,8,0%
,Roraimense,Male,Senior,2016,15,0%
,,,,2017,22,0%
,São Paulo Youth Cup,Male,Youth,2016,224,23%
,,,,2017,240,39%
,,,,2018,255,73%
,,,,2019,255,67%
,,,,2020,255,93%
,,,,2022,255,95%
,,,,2023,255,64%
,,,,2024,255,94%
,,,,2025,240,91%
,Sergipano,Male,Senior,2016,89,0%
,,,,2017,89,6%
,,,,2018,62,6%
,,,,2019,53,42%
,,,,2020,40,73%
,,,,2021,56,45%
,,,,2022,56,79%
,,,,2023,59,66%
,,,,2024,59,93%
,,,,2025,7,43%
,Serie A,Male,Senior,2016,379,100%
,,,,2017,380,100%
,,,,2018,380,100%
,,,,2019,380,97%
,,,,2020,380,100%
Brazil,Serie A,Male,Senior,2021,380,100%
,,,,2022,380,100%
,,,,2023,380,100%
,,,,2024,380,100%
,Serie B,Male,Senior,2016,380,99%
,,,,2017,380,100%
,,,,2018,380,100%
,,,,2019,380,100%
,,,,2020,380,100%
,,,,2021,380,100%
,,,,2022,380,100%
,,,,2023,380,100%
,,,,2024,380,100%
,Serie C,Male,Senior,2016,194,49%
,,,,2017,194,38%
,,,,2018,194,44%
,,,,2019,194,49%
,,,,2020,206,99%
,,,,2021,206,100%
,,,,2022,216,97%
,,,,2023,216,98%
,,,,2024,216,90%
,Serie D,Male,Senior,2015,190,0%
,,,,2016,266,3%
,,,,2017,266,8%
,,,,2018,15,0%
,,,,2019,266,79%
,,,,2020,518,86%
,,,,2021,518,36%
,,,,2024,30,0%
,Sul-Matogrossense,Male,Senior,2016,74,0%
,,,,2017,76,0%
,,,,2018,14,0%
,,,,2019,79,0%
,,,,2020,57,40%
,,,,2021,69,52%
,,,,2022,70,60%
,,,,2023,54,65%
,,,,2024,54,72%
,Supercopa do Brasil,Male,Senior,2020,1,100%
,,,,2021,1,100%
,,,,2022,1,100%
,,,,2023,1,100%
,,,,2024,1,100%
,Supercopa Feminino,Female,Senior,2022,7,100%
,,,,2023,7,100%
Brazil,Supercopa Feminino,Female,Senior,2024,7,100%
,Supercopa Sub 17,Male,Senior,2021,1,0%
,Supercopa Sub 20,Male,Youth,2017,2,0%
,,,,2018,2,0%
,,,,2019,2,0%
,,,,2020/2021,1,0%
,Taca Belo Horizonte de Juniores,Male,Youth,2015,6,0%
,,,,2016,9,0%
,,,,2017,7,0%
,,,,2018,4,25%
,Tocantinense,Male,Senior,2016,62,0%
,,,,2017,30,0%
,Torneio Octávio Pinto Gui..,Male,Youth,2018,11,0%
British Virgin Islands,BVIFA National League,Male,Senior,2016/2017,56,0%
Brunei Darussalam,Super League,Male,Senior,2016,46,0%
,,,,2017,92,0%
Bulgaria,Cup,Male,Senior,2015/2016,33,6%
,,,,2016/2017,33,36%
,,,,2017/2018,33,48%
,,,,2018/2019,33,52%
,,,,2019/2020,33,58%
,,,,2020/2021,32,66%
,,,,2021/2022,33,64%
,,,,2022/2023,33,58%
,,,,2023/2024,33,55%
,,,,2024/2025,24,75%
,Elite U19,Male,Youth,2015/2016,272,0%
,,,,2016/2017,240,0%
,,,,2017/2018,120,0%
,First League,Male,Senior,2015/2016,144,86%
,,,,2016/2017,241,95%
,,,,2017/2018,243,100%
,,,,2018/2019,251,99%
,,,,2019/2020,216,100%
,,,,2020/2021,222,100%
,,,,2021/2022,222,100%
,,,,2022/2023,283,99%
,,,,2023/2024,283,100%
,,,,2024/2025,152,99%
,Play-offs 1/2,Male,Senior,2015/2016,1,100%
,,,,2016/2017,10,100%
,,,,2017/2018,10,100%
,,,,2019/2020,2,100%
,,,,2020/2021,1,100%
,,,,2021/2022,1,100%
,,,,2022/2023,1,100%
Bulgaria,Play-offs 1/2,Male,Senior,2023/2024,1,100%
,Second League,Male,Senior,2015/2016,240,0%
,,,,2016/2017,240,6%
,,,,2017/2018,240,10%
,,,,2018/2019,240,10%
,,,,2019/2020,173,13%
,,,,2020/2021,235,28%
,,,,2021/2022,347,15%
,,,,2022/2023,306,75%
,,,,2023/2024,306,0%
,,,,2024/2025,21,14%
,Super Cup,Male,Senior,2015/2016,1,100%
,,,,2017/2018,1,100%
,,,,2018/2019,1,100%
,,,,2019/2020,1,100%
,,,,2020/2021,1,100%
,,,,2021/2022,1,100%
,,,,2022/2023,1,100%
,,,,2023/2024,1,100%
,Third League,Male,Senior,2015/2016,998,0%
,,,,2016/2017,981,0%
,,,,2017/2018,592,0%
,,,,2023/2024,26,54%
,U18 Cup,Male,Youth,2016/2017,29,0%
,,,,2017/2018,24,0%
,Women's League,Female,Senior,2015/2016,90,0%
,,,,2016/2017,110,0%
,,,,2017/2018,54,0%
Burkina Faso,1ère Division,Male,Senior,2015/2016,240,0%
,,,,2016/2017,240,0%
,,,,2017/2018,136,0%
Burundi,Ligue A,Male,Senior,2015/2016,240,0%
,,,,2016/2017,246,0%
,,,,2017/2018,111,0%
,,,,2018/2019,220,95%
Cambodia,Cambodian League Cup,Male,Senior,2021,4,50%
,,,,2022,31,68%
,,,,2023,47,91%
,Cambodian Premier League,Male,Senior,2015,128,0%
,,,,2016,89,0%
,,,,2017,131,0%
,,,,2020,114,96%
,,,,2021,116,97%
,,,,2022,96,100%
,,,,2023/2024,141,99%
,,,,2024/2025,85,99%
Cambodia,Cambodian Super Cup,Male,Senior,2023/2024,1,100%
,,,,2024/2025,1,100%
,Hun Sen Cup,Male,Senior,2016,68,0%
,,,,2017,39,0%
,,,,2020,28,64%
,,,,2021,16,88%
,,,,2022,30,97%
,,,,2023/2024,30,90%
,,,,2024/2025,4,0%
Cameroon,Elite ONE,Male,Senior,2016,306,0%
,,,,2017,306,0%
,,,,2021,203,0%
,Elite Two,Male,Senior,2017,212,0%
,Tournoi International de Limbe U14,Male,Youth,2019,15,87%
,,,,2020,31,77%
,,,,2021,31,35%
,Tournoi International de Limbe U16,Male,Youth,2019,19,100%
,,,,2020,29,79%
,,,,2021,31,42%
,Tournoi International de Limbe U18,Male,Youth,2019,20,95%
,,,,2020,28,75%
,,,,2021,31,68%
,U15 Geremi Njitap Challe..,Male,Youth,2022,17,65%
,U17 Geremi Njitap Challe..,Male,Youth,2022,17,59%
Canada,Canadian Championship,Male,Senior,2016,8,0%
,,,,2017,8,88%
,,,,2018,5,0%
,,,,2022,1,100%
,,,,2023,13,0%
,,,,2024,19,100%
,Canadian Premier League,Male,Senior,2019,100,96%
,,,,2020,35,100%
,,,,2021,115,99%
,,,,2022,117,100%
,,,,2023,117,100%
,,,,2024,117,100%
,Canadian Soccer League,Male,Senior,2016,91,0%
,,,,2017,62,0%
,PCSL,Male,Senior,2016,33,0%
,,,,2017,45,0%
,Reserve League,Male,Senior,2016,47,0%
,,,,2017,62,0%
,U-Sports Canada West Universities Athletic Asso..,Male,Youth,2023 Fall,81,52%
,,,,2024 Fall,89,43%
,U-Sports Canada West Universities Athletic Asso..,Female,Youth,2023 Fall,121,70%
,,,,2024 Fall,113,64%
Canada,U-Sports Championship,Male,Youth,2023 Fall,2,0%
,,,,2024 Fall,2,0%
,U-Sports Championship (W),Female,Youth,2023 Fall,6,33%
,,,,2024 Fall,7,0%
,U-Sports Non-conference matches,Male,Youth,2023 Fall,6,0%
,,,,2024 Fall,1,0%
,U-Sports Non-conference matches (W),Female,Youth,2023 Fall,11,0%
,,,,2024 Fall,17,0%
,,,,2024 Winter/Spring,6,83%
,U-Sports Ontario University Athletics,Male,Youth,2023 Fall,51,61%
,,,,2024 Fall,37,32%
,U-Sports Ontario University Athletics (W),Female,Youth,2023 Fall,53,53%
,,,,2024 Fall,39,49%
,Women’s Soccer Canada,Female,Senior,2019,145,0%
Cape Verde Islands,Campeonato Nacional,Male,Senior,2016,36,0%
,,,,2017,41,0%
Cayman Islands,CIFA Premier League,Male,Senior,2015/2016,84,0%
,,,,2016/2017,87,0%
,,,,2017/2018,52,0%
Chile,Campeonato Nacional Futbol Joven U19,Male,Youth,2016,45,0%
,,,,2018,5,0%
,Copa Chile,Male,Senior,2015,125,0%
,,,,2016,57,23%
,,,,2017,61,61%
,,,,2018,94,38%
,,,,2019,58,55%
,,,,2021,59,98%
,,,,2022,77,81%
,,,,2023,56,96%
,,,,2024,69,67%
,Más que Una Pasión U20,Male,Youth,2020,9,100%
,,,,2022,14,100%
,Play-offs 1/2,Male,Senior,2017,3,0%
,,,,2021,2,100%
,Primera B,Male,Senior,2015/2016,254,2%
,,,,2016/2017,210,5%
,,,,2017,120,5%
,,,,2018,248,16%
,,,,2019,221,26%
,,,,2020,216,98%
,,,,2021,246,98%
,,,,2022,280,98%
,,,,2023,252,100%
,,,,2024,248,99%
,Primera División,Male,Senior,2015/2016,252,97%
,,,,2016/2017,241,98%
Chile,Primera División,Male,Senior,2017,122,100%
,,,,2018,240,100%
,,,,2019,193,100%
,,,,2020,307,100%
,,,,2021,272,100%
,,,,2022,239,100%
,,,,2023,240,100%
,,,,2024,240,100%
,Segunda División,Male,Senior,2015/2016,228,0%
,,,,2016/2017,192,0%
,,,,2017,111,0%
,Super Cup,Male,Senior,2015,1,0%
,,,,2016,1,0%
,,,,2017,1,100%
,,,,2018,1,100%
,,,,2019,1,100%
,,,,2020,1,100%
,,,,2021,1,100%
,,,,2022,1,100%
,,,,2023,1,100%
,Tercera A,Male,Senior,2016,210,0%
,,,,2017,210,0%
